# redshift	D_L [Mpc]	Age [yr]
2.06688025e-02	9.30208670e+01	1.34926609e+10
2.11020343e-02	9.50012264e+01	1.34865883e+10
2.15443469e-02	9.70243806e+01	1.34803923e+10
2.19959307e-02	9.90912804e+01	1.34740706e+10
2.24569800e-02	1.01202899e+02	1.34676206e+10
2.29276931e-02	1.03360231e+02	1.34610400e+10
2.34082728e-02	1.05564296e+02	1.34543260e+10
2.38989257e-02	1.07816138e+02	1.34474761e+10
2.43998630e-02	1.10116822e+02	1.34404877e+10
2.49113003e-02	1.12467443e+02	1.34333581e+10
2.54334576e-02	1.14869117e+02	1.34260845e+10
2.59665597e-02	1.17322990e+02	1.34186642e+10
2.65108360e-02	1.19830232e+02	1.34110942e+10
2.70665207e-02	1.22392045e+02	1.34033718e+10
2.76338529e-02	1.25009654e+02	1.33954939e+10
2.82130768e-02	1.27684319e+02	1.33874576e+10
2.88044415e-02	1.30417325e+02	1.33792598e+10
2.94082017e-02	1.33209990e+02	1.33708974e+10
3.00246171e-02	1.36063665e+02	1.33623674e+10
3.06539530e-02	1.38979730e+02	1.33536664e+10
3.12964801e-02	1.41959600e+02	1.33447912e+10
3.19524751e-02	1.45004726e+02	1.33357385e+10
3.26222201e-02	1.48116590e+02	1.33265050e+10
3.33060034e-02	1.51296712e+02	1.33170872e+10
3.40041193e-02	1.54546650e+02	1.33074816e+10
3.47168682e-02	1.57867997e+02	1.32976847e+10
3.54445567e-02	1.61262388e+02	1.32876929e+10
3.61874981e-02	1.64731495e+02	1.32775025e+10
3.69460121e-02	1.68277033e+02	1.32671099e+10
3.77204249e-02	1.71900758e+02	1.32565111e+10
3.85110700e-02	1.75604468e+02	1.32457025e+10
3.93182876e-02	1.79390008e+02	1.32346801e+10
4.01424249e-02	1.83259266e+02	1.32234399e+10
4.09838367e-02	1.87214178e+02	1.32119780e+10
4.18428851e-02	1.91256728e+02	1.32002902e+10
4.27199397e-02	1.95388949e+02	1.31883724e+10
4.36153779e-02	1.99612924e+02	1.31762203e+10
4.45295851e-02	2.03930788e+02	1.31638298e+10
4.54629547e-02	2.08344732e+02	1.31511964e+10
4.64158883e-02	2.12856998e+02	1.31383158e+10
4.73887961e-02	2.17469887e+02	1.31251835e+10
4.83820966e-02	2.22185756e+02	1.31117950e+10
4.93962174e-02	2.27007024e+02	1.30981456e+10
5.04315949e-02	2.31936169e+02	1.30842307e+10
5.14886745e-02	2.36975733e+02	1.30700456e+10
5.25679112e-02	2.42128323e+02	1.30555854e+10
5.36697695e-02	2.47396610e+02	1.30408453e+10
5.47947234e-02	2.52783337e+02	1.30258204e+10
5.59432571e-02	2.58291313e+02	1.30105057e+10
5.71158648e-02	2.63923424e+02	1.29948961e+10
5.83130511e-02	2.69682625e+02	1.29789865e+10
