# redshift	D_L [Mpc]	Age [yr]
2.15443469e-02	9.47385305e+01	1.34696274e+10
2.19959307e-02	9.67575393e+01	1.34634521e+10
2.24569800e-02	9.88202646e+01	1.34571514e+10
2.29276931e-02	1.00927681e+02	1.34507229e+10
2.34082728e-02	1.03080786e+02	1.34441641e+10
2.38989257e-02	1.05280602e+02	1.34374725e+10
2.43998630e-02	1.07528172e+02	1.34306454e+10
2.49113003e-02	1.09824567e+02	1.34236801e+10
2.54334576e-02	1.12170882e+02	1.34165741e+10
2.59665597e-02	1.14568238e+02	1.34093246e+10
2.65108360e-02	1.17017783e+02	1.34019287e+10
2.70665207e-02	1.19520691e+02	1.33943838e+10
2.76338529e-02	1.22078166e+02	1.33866868e+10
2.82130768e-02	1.24691438e+02	1.33788348e+10
2.88044415e-02	1.27361769e+02	1.33708249e+10
2.94082017e-02	1.30090450e+02	1.33626540e+10
3.00246171e-02	1.32878803e+02	1.33543191e+10
3.06539530e-02	1.35728183e+02	1.33458169e+10
3.12964801e-02	1.38639976e+02	1.33371444e+10
3.19524751e-02	1.41615602e+02	1.33282981e+10
3.26222201e-02	1.44656516e+02	1.33192750e+10
3.33060034e-02	1.47764208e+02	1.33100715e+10
3.40041193e-02	1.50940204e+02	1.33006843e+10
3.47168682e-02	1.54186067e+02	1.32911098e+10
3.54445567e-02	1.57503398e+02	1.32813446e+10
3.61874981e-02	1.60893839e+02	1.32713851e+10
3.69460121e-02	1.64359071e+02	1.32612276e+10
3.77204249e-02	1.67900816e+02	1.32508684e+10
3.85110700e-02	1.71520838e+02	1.32403037e+10
3.93182876e-02	1.75220946e+02	1.32295298e+10
4.01424249e-02	1.79002994e+02	1.32185427e+10
4.09838367e-02	1.82868880e+02	1.32073384e+10
4.18428851e-02	1.86820551e+02	1.31959130e+10
4.27199397e-02	1.90860001e+02	1.31842624e+10
4.36153779e-02	1.94989276e+02	1.31723824e+10
4.45295851e-02	1.99210472e+02	1.31602689e+10
4.54629547e-02	2.03525738e+02	1.31479175e+10
4.64158883e-02	2.07937276e+02	1.31353240e+10
4.73887961e-02	2.12447344e+02	1.31224839e+10
4.83820966e-02	2.17058258e+02	1.31093929e+10
4.93962174e-02	2.21772393e+02	1.30960462e+10
5.04315949e-02	2.26592184e+02	1.30824395e+10
5.14886745e-02	2.31520125e+02	1.30685679e+10
5.25679112e-02	2.36558779e+02	1.30544268e+10
5.36697695e-02	2.41710772e+02	1.30400115e+10
5.47947234e-02	2.46978795e+02	1.30253169e+10
5.59432571e-02	2.52365614e+02	1.30103383e+10
5.71158648e-02	2.57874060e+02	1.29950706e+10
5.83130511e-02	2.63507042e+02	1.29795087e+10
5.95353313e-02	2.69267542e+02	1.29636476e+10
6.07832313e-02	2.75158621e+02	1.29474821e+10
6.20572881e-02	2.81183418e+02	1.29310068e+10
6.33580499e-02	2.87345155e+02	1.29142165e+10
6.46860766e-02	2.93647139e+02	1.28971058e+10
6.60419396e-02	3.00092762e+02	1.28796692e+10
6.74262224e-02	3.06685507e+02	1.28619012e+10
6.88395207e-02	3.13428949e+02	1.28437963e+10
7.02824426e-02	3.20326754e+02	1.28253486e+10
7.17556092e-02	3.27382691e+02	1.28065527e+10
7.32596543e-02	3.34600624e+02	1.27874026e+10
7.47952252e-02	3.41984522e+02	1.27678925e+10
7.63629826e-02	3.49538461e+02	1.27480165e+10
7.79636013e-02	3.57266624e+02	1.27277687e+10
7.95977700e-02	3.65173307e+02	1.27071430e+10
8.12661920e-02	3.73262923e+02	1.26861334e+10
8.29695852e-02	3.81540001e+02	1.26647337e+10
8.47086827e-02	3.90009194e+02	1.26429377e+10
8.64842328e-02	3.98675282e+02	1.26207392e+10
8.82969996e-02	4.07543173e+02	1.25981318e+10
9.01477631e-02	4.16617909e+02	1.25751092e+10
9.20373200e-02	4.25904669e+02	1.25516649e+10
9.39664831e-02	4.35408776e+02	1.25277926e+10
9.59360829e-02	4.45135695e+02	1.25034858e+10
9.79469667e-02	4.55091043e+02	1.24787378e+10
1.00000000e-01	4.65280591e+02	1.24535420e+10
1.02096066e-01	4.75710271e+02	1.24278919e+10
1.04236067e-01	4.86386175e+02	1.24017808e+10
1.06420924e-01	4.97314566e+02	1.23752020e+10
1.08651577e-01	5.08501881e+02	1.23481486e+10
1.10928986e-01	5.19954735e+02	1.23206141e+10
1.13254132e-01	5.31679926e+02	1.22925915e+10
1.15628013e-01	5.43684444e+02	1.22640741e+10
1.18051653e-01	5.55975472e+02	1.22350550e+10
1.20526094e-01	5.68560396e+02	1.22055274e+10
1.23052400e-01	5.81446807e+02	1.21754844e+10
1.25631660e-01	5.94642512e+02	1.21449192e+10
1.28264983e-01	6.08155534e+02	1.21138248e+10
1.30953502e-01	6.21994125e+02	1.20821944e+10
1.33698374e-01	6.36166769e+02	1.20500211e+10
1.36500781e-01	6.50682189e+02	1.20172981e+10
1.39361927e-01	6.65549356e+02	1.19840186e+10
1.42283046e-01	6.80777494e+02	1.19501756e+10
1.45265393e-01	6.96376091e+02	1.19157624e+10
1.48310251e-01	7.12354902e+02	1.18807722e+10
1.51418933e-01	7.28723961e+02	1.18451984e+10
1.54592774e-01	7.45493588e+02	1.18090341e+10
1.57833141e-01	7.62674396e+02	1.17722728e+10
1.61141428e-01	7.80277302e+02	1.17349079e+10
1.64519059e-01	7.98313535e+02	1.16969328e+10
1.67967487e-01	8.16794645e+02	1.16583412e+10
1.71488197e-01	8.35732512e+02	1.16191265e+10
1.75082703e-01	8.55139356e+02	1.15792826e+10
1.78752553e-01	8.75027748e+02	1.15388032e+10
1.82499324e-01	8.95410620e+02	1.14976822e+10
1.86324631e-01	9.16301273e+02	1.14559137e+10
1.90230119e-01	9.37713391e+02	1.14134917e+10
1.94217468e-01	9.59661051e+02	1.13704105e+10
1.98288395e-01	9.82158734e+02	1.13266645e+10
2.02444651e-01	1.00522134e+03	1.12822482e+10
2.06688025e-01	1.02886418e+03	1.12371562e+10
2.11020343e-01	1.05310304e+03	1.11913835e+10
2.15443469e-01	1.07795412e+03	1.11449250e+10
2.19959307e-01	1.10343411e+03	1.10977759e+10
2.24569800e-01	1.12956017e+03	1.10499316e+10
2.29276931e-01	1.15634996e+03	1.10013878e+10
2.34082728e-01	1.18382162e+03	1.09521401e+10
2.38989257e-01	1.21199386e+03	1.09021846e+10
2.43998630e-01	1.24088587e+03	1.08515176e+10
2.49113003e-01	1.27051743e+03	1.08001357e+10
2.54334576e-01	1.30090886e+03	1.07480355e+10
2.59665597e-01	1.33208108e+03	1.06952142e+10
2.65108360e-01	1.36405558e+03	1.06416690e+10
2.70665207e-01	1.39685449e+03	1.05873976e+10
2.76338529e-01	1.43050056e+03	1.05323979e+10
2.82130768e-01	1.46501718e+03	1.04766682e+10
